Game_Index,Date,Visitor,Game No V,Goals V,H_Status_V,Home,Game No H,Goals H,H_Status_H,Win Type,Att.,LoG,Result Visitor,Pts Visitor,Result Home,Pts Home
79,16/10/2018,Dallas Stars,6,0,0,New Jersey Devils,4,3,1,-,"12,808",2:33,0,0,1,2
80,16/10/2018,Colorado Avalanche,6,2,0,New York Rangers,6,3,1,SO,"17,251",2:43,0,1,1,2
81,16/10/2018,Florida Panthers,4,5,0,Philadelphia Flyers,6,6,1,SO,"19,038",2:48,0,1,1,2
82,16/10/2018,Vancouver Canucks,6,3,0,Pittsburgh Penguins,5,2,1,OT,"18,492",2:24,1,2,0,1
83,16/10/2018,Carolina Hurricanes,7,2,0,Tampa Bay Lightning,4,4,1,-,"19,092",2:37,0,0,1,2
84,16/10/2018,Buffalo Sabres,6,1,0,Vegas Golden Knights,7,4,1,-,"18,321",2:38,0,0,1,2
85,16/10/2018,Edmonton Oilers,4,5,0,Winnipeg Jets,6,4,1,OT,"15,321",2:29,1,2,0,1
86,17/10/2018,New York Islanders,5,1,0,Anaheim Ducks,7,4,1,-,"16,909",2:30,0,0,1,2
87,17/10/2018,Boston Bruins,6,2,0,Calgary Flames,6,5,1,-,"17,641",2:25,0,0,1,2
88,17/10/2018,St. Louis Blues,6,2,0,Montreal Canadiens,6,3,1,-,"20,137",2:22,0,0,1,2
89,17/10/2018,New York Rangers,7,3,0,Washington Capitals,6,4,1,OT,"18,506",2:34,0,1,1,2
90,18/10/2018,Philadelphia Flyers,7,3,0,Columbus Blue Jackets,6,6,1,-,"13,492",2:20,0,0,1,2
91,18/10/2018,Arizona Coyotes,6,4,0,Chicago Blackhawks,6,1,1,-,"21,210",2:31,1,2,0,0
92,18/10/2018,Boston Bruins,7,2,0,Edmonton Oilers,5,3,1,OT,"18,347",2:26,0,1,1,2
93,18/10/2018,New York Islanders,6,7,0,Los Angeles Kings,7,2,1,-,"18,230",2:34,1,2,0,0
94,18/10/2018,Colorado Avalanche,7,5,0,New Jersey Devils,5,3,1,-,"13,374",2:41,1,2,0,0
95,18/10/2018,Buffalo Sabres,7,1,0,San Jose Sharks,7,5,1,-,"17,389",2:33,0,0,1,2
96,18/10/2018,Detroit Red Wings,7,1,0,Tampa Bay Lightning,5,3,1,-,"19,092",2:43,0,0,1,2
97,18/10/2018,Pittsburgh Penguins,6,3,0,Toronto Maple Leafs,8,0,1,-,"19,483",2:28,1,2,0,0
98,18/10/2018,Vancouver Canucks,7,1,0,Winnipeg Jets,7,4,1,-,"15,321",2:32,0,0,1,2
99,19/10/2018,Nashville Predators,7,5,0,Calgary Flames,7,3,1,-,"18,725",2:36,1,2,0,0
100,19/10/2018,Minnesota Wild,7,3,0,Dallas Stars,7,1,1,-,"18,346",2:18,1,2,0,0
101,19/10/2018,Florida Panthers,5,6,0,Washington Capitals,7,5,1,SO,"18,506",2:56,1,2,0,1
102,20/10/2018,Colorado Avalanche,8,3,0,Carolina Hurricanes,8,1,1,-,"11,753",2:30,1,2,0,0
103,20/10/2018,Chicago Blackhawks,7,4,0,Columbus Blue Jackets,7,1,1,-,"17,005",2:29,1,2,0,0
104,20/10/2018,Nashville Predators,8,3,0,Edmonton Oilers,6,0,1,-,"18,347",2:29,1,2,0,0
105,20/10/2018,Detroit Red Wings,8,4,0,Florida Panthers,6,3,1,OT,"14,534",2:44,1,2,0,1
106,20/10/2018,Buffalo Sabres,8,5,0,Los Angeles Kings,8,1,1,-,"18,230",2:38,1,2,0,0
107,20/10/2018,Tampa Bay Lightning,6,4,0,Minnesota Wild,8,5,1,OT,"19,080",2:42,0,1,1,2
108,20/10/2018,Montreal Canadiens,7,3,0,Ottawa Senators,7,4,1,OT,"18,442",2:37,0,1,1,2
109,20/10/2018,New Jersey Devils,6,2,0,Philadelphia Flyers,8,5,1,-,"19,105",2:35,0,0,1,2
110,20/10/2018,New York Islanders,7,1,0,San Jose Sharks,8,4,1,-,"17,414",2:31,0,0,1,2
111,20/10/2018,St. Louis Blues,7,4,0,Toronto Maple Leafs,9,1,1,-,"19,268",2:31,1,2,0,0
112,20/10/2018,Boston Bruins,8,1,0,Vancouver Canucks,8,2,1,OT,"17,871",2:30,0,1,1,2
113,20/10/2018,Anaheim Ducks,8,1,0,Vegas Golden Knights,8,3,1,-,"18,375",2:33,0,0,1,2
114,20/10/2018,Arizona Coyotes,7,3,0,Winnipeg Jets,8,5,1,-,"15,321",2:33,0,0,1,2
115,21/10/2018,Buffalo Sabres,9,4,0,Anaheim Ducks,9,2,1,-,"17,174",2:24,1,2,0,0
116,21/10/2018,Tampa Bay Lightning,7,6,0,Chicago Blackhawks,8,3,1,-,"21,012",2:29,1,2,0,0
117,21/10/2018,Calgary Flames,8,4,0,New York Rangers,8,1,1,-,"17,404",2:29,1,2,0,0
118,22/10/2018,Carolina Hurricanes,9,3,0,Detroit Red Wings,9,1,1,-,"19,515",2:28,1,2,0,0
119,22/10/2018,Colorado Avalanche,9,4,0,Philadelphia Flyers,9,1,1,-,"19,326",2:30,1,2,0,0
120,22/10/2018,Washington Capitals,8,5,0,Vancouver Canucks,9,2,1,-,"17,227",2:25,1,2,0,0
121,22/10/2018,St. Louis Blues,8,4,0,Winnipeg Jets,9,5,1,OT,"15,321",2:37,0,1,1,2
122,23/10/2018,Arizona Coyotes,8,4,0,Columbus Blue Jackets,8,1,1,-,"11,458",2:28,1,2,0,0
123,23/10/2018,Anaheim Ducks,10,1,0,Chicago Blackhawks,9,3,1,-,"20,900",2:31,0,0,1,2
124,23/10/2018,Los Angeles Kings,9,2,0,Dallas Stars,8,4,1,-,"17,354",2:39,0,0,1,2
125,23/10/2018,Pittsburgh Penguins,7,6,0,Edmonton Oilers,7,5,1,OT,"18,347",2:42,1,2,0,1
126,23/10/2018,Calgary Flames,9,2,0,Montreal Canadiens,8,3,1,-,"21,028",2:30,0,0,1,2
127,23/10/2018,San Jose Sharks,9,5,0,Nashville Predators,9,4,1,-,"17,159",2:41,1,2,0,0
128,23/10/2018,Florida Panthers,7,2,0,New York Rangers,9,5,1,-,"17,016",2:33,0,0,1,2
129,23/10/2018,Boston Bruins,9,4,0,Ottawa Senators,8,1,1,-,"15,265",2:31,1,2,0,0
130,24/10/2018,Tampa Bay Lightning,8,1,0,Colorado Avalanche,10,0,1,-,"16,753",2:23,1,2,0,0
131,24/10/2018,Florida Panthers,8,3,0,New York Islanders,8,2,1,OT,"9,743",2:40,1,2,0,1
132,24/10/2018,Vancouver Canucks,10,3,0,Vegas Golden Knights,9,2,1,SO,"18,189",2:42,1,2,0,1
133,24/10/2018,Toronto Maple Leafs,10,4,0,Winnipeg Jets,10,2,1,-,"15,321",2:29,1,2,0,0
134,25/10/2018,Vancouver Canucks,11,1,0,Arizona Coyotes,9,4,1,-,"12,955",2:20,0,0,1,2
135,25/10/2018,Philadelphia Flyers,10,0,0,Boston Bruins,10,3,1,-,"17,565",2:32,0,0,1,2
136,25/10/2018,Montreal Canadiens,9,3,0,Buffalo Sabres,10,4,1,-,"16,112",2:35,0,0,1,2
137,25/10/2018,Pittsburgh Penguins,8,9,0,Calgary Flames,10,1,1,-,"17,834",2:31,1,2,0,0
138,25/10/2018,New York Rangers,10,1,0,Chicago Blackhawks,10,4,1,-,"21,280",2:36,0,0,1,2
139,25/10/2018,Anaheim Ducks,11,2,0,Dallas Stars,9,5,1,-,"17,134",2:34,0,0,1,2
140,25/10/2018,Washington Capitals,9,1,0,Edmonton Oilers,8,4,1,-,"18,347",2:29,0,0,1,2
141,25/10/2018,Los Angeles Kings,10,1,0,Minnesota Wild,9,4,1,-,"18,778",2:36,0,0,1,2
142,25/10/2018,Nashville Predators,10,4,0,New Jersey Devils,7,3,1,OT,"15,164",2:44,1,2,0,1
143,25/10/2018,Columbus Blue Jackets,9,7,0,St. Louis Blues,9,4,1,-,"17,068",2:37,1,2,0,0
144,26/10/2018,San Jose Sharks,10,3,0,Carolina Hurricanes,10,4,1,SO,"12,311",2:43,0,1,1,2
145,26/10/2018,Ottawa Senators,9,3,0,Colorado Avalanche,11,6,1,-,"16,851",2:32,0,0,1,2
146,26/10/2018,Winnipeg Jets,11,2,0,Detroit Red Wings,10,1,1,-,"19,515",2:27,1,2,0,0
147,26/10/2018,Tampa Bay Lightning,9,3,0,Vegas Golden Knights,10,2,1,-,"18,207",2:38,1,2,0,0
148,27/10/2018,Tampa Bay Lightning,10,1,0,Arizona Coyotes,10,7,1,-,"13,623",2:31,0,0,1,2
149,27/10/2018,Montreal Canadiens,10,3,0,Boston Bruins,11,0,1,-,"17,565",2:37,1,2,0,0
150,27/10/2018,Buffalo Sabres,11,4,0,Columbus Blue Jackets,10,5,1,OT,"15,642",2:39,0,1,1,2
151,27/10/2018,Washington Capitals,10,4,0,Calgary Flames,11,3,1,SO,"17,832",2:45,1,2,0,1
152,27/10/2018,Colorado Avalanche,12,2,0,Minnesota Wild,10,3,1,-,"19,093",2:35,0,0,1,2
153,27/10/2018,Florida Panthers,9,2,0,New Jersey Devils,8,3,1,-,"15,927",2:50,0,0,1,2
154,27/10/2018,Edmonton Oilers,9,5,0,Nashville Predators,11,3,1,-,"17,248",2:31,1,2,0,0
155,27/10/2018,New York Islanders,9,6,0,Philadelphia Flyers,11,1,1,-,"19,247",2:28,1,2,0,0
156,27/10/2018,Chicago Blackhawks,11,3,0,St. Louis Blues,10,7,1,-,"17,201",2:32,0,0,1,2
157,27/10/2018,Winnipeg Jets,12,2,0,Toronto Maple Leafs,11,3,1,-,"19,545",2:31,0,0,1,2
158,27/10/2018,Pittsburgh Penguins,9,5,0,Vancouver Canucks,12,0,1,-,"17,537",2:29,1,2,0,0
159,28/10/2018,San Jose Sharks,11,4,0,Anaheim Ducks,12,3,1,OT,"17,099",2:36,1,2,0,1
160,28/10/2018,New York Islanders,10,2,0,Carolina Hurricanes,11,1,1,-,"10,367",2:30,1,2,0,0
161,28/10/2018,Edmonton Oilers,10,2,0,Chicago Blackhawks,12,1,1,OT,"20,987",2:24,1,2,0,1
162,28/10/2018,Dallas Stars,10,2,0,Detroit Red Wings,11,4,1,-,"19,515",2:26,0,0,1,2
163,28/10/2018,New York Rangers,11,3,0,Los Angeles Kings,11,4,1,-,"18,230",2:41,0,0,1,2
164,28/10/2018,Ottawa Senators,10,3,0,Vegas Golden Knights,11,4,1,OT,"18,089",2:40,0,1,1,2
165,29/10/2018,Calgary Flames,12,3,0,Toronto Maple Leafs,12,1,1,-,"18,989",2:31,1,2,0,0
166,29/10/2018,Minnesota Wild,11,2,0,Vancouver Canucks,13,5,1,-,"16,546",2:36,0,0,1,2
167,30/10/2018,Philadelphia Flyers,12,3,0,Anaheim Ducks,13,2,1,-,"16,450",2:28,1,2,0,0
168,30/10/2018,Ottawa Senators,11,1,0,Arizona Coyotes,11,5,1,-,"13,988",2:32,0,0,1,2
169,30/10/2018,Calgary Flames,13,2,0,Buffalo Sabres,12,1,1,OT,"15,196",2:38,1,2,0,1
170,30/10/2018,Boston Bruins,12,3,0,Carolina Hurricanes,12,2,1,-,"11,357",2:37,1,2,0,0
171,30/10/2018,Detroit Red Wings,12,5,0,Columbus Blue Jackets,11,3,1,-,"14,288",2:30,1,2,0,0
172,30/10/2018,Minnesota Wild,12,4,0,Edmonton Oilers,11,3,1,-,"18,347",2:32,1,2,0,0
173,30/10/2018,Dallas Stars,11,4,0,Montreal Canadiens,11,1,1,-,"20,506",2:39,1,2,0,0
174,30/10/2018,Vegas Golden Knights,12,1,0,Nashville Predators,12,4,1,-,"17,367",2:30,0,0,1,2
175,30/10/2018,New York Islanders,11,6,0,Pittsburgh Penguins,10,3,1,-,"18,509",2:32,1,2,0,0
176,30/10/2018,New York Rangers,12,4,0,San Jose Sharks,12,3,1,SO,"17,562",2:38,1,2,0,1
177,30/10/2018,New Jersey Devils,9,3,0,Tampa Bay Lightning,11,8,1,-,"19,092",2:37,0,0,1,2
178,31/10/2018,Chicago Blackhawks,13,2,0,Vancouver Canucks,14,4,1,-,"16,955",2:32,0,0,1,2
179,1/11/2018,New York Rangers,13,3,0,Anaheim Ducks,14,2,1,SO,"16,101",3:14,1,2,0,1
180,1/11/2018,Colorado Avalanche,13,5,0,Calgary Flames,14,6,1,-,"17,317",2:39,0,0,1,2
181,1/11/2018,New Jersey Devils,10,3,0,Detroit Red Wings,13,4,1,-,"18,273",2:48,0,0,1,2
182,1/11/2018,Chicago Blackhawks,14,0,0,Edmonton Oilers,12,4,1,-,"18,347",2:26,0,0,1,2
183,1/11/2018,Winnipeg Jets,13,4,0,Florida Panthers,10,2,1,-,"13,490",2:37,1,2,0,0
184,1/11/2018,Philadelphia Flyers,13,5,0,Los Angeles Kings,12,2,1,-,"18,230",2:35,1,2,0,0
185,1/11/2018,Washington Capitals,11,4,0,Montreal Canadiens,12,6,1,-,"20,279",2:25,0,0,1,2
186,1/11/2018,Pittsburgh Penguins,11,2,0,New York Islanders,12,3,1,SO,"10,910",2:42,0,1,1,2
187,1/11/2018,Buffalo Sabres,13,2,0,Ottawa Senators,12,4,1,-,"12,587",2:20,0,0,1,2
188,1/11/2018,Columbus Blue Jackets,12,4,0,San Jose Sharks,13,1,1,-,"15,879",2:32,1,2,0,0
189,1/11/2018,Vegas Golden Knights,13,3,0,St. Louis Blues,11,5,1,-,"16,813",2:32,0,0,1,2
190,1/11/2018,Nashville Predators,13,4,0,Tampa Bay Lightning,12,1,1,-,"19,092",2:30,1,2,0,0
191,1/11/2018,Dallas Stars,12,2,0,Toronto Maple Leafs,13,1,1,-,"18,878",2:27,1,2,0,0
192,2/11/2018,Carolina Hurricanes,13,3,0,Arizona Coyotes,12,4,1,OT,"10,562",2:30,0,1,1,2
193,2/11/2018,Colorado Avalanche,14,6,0,Vancouver Canucks,15,7,1,OT,"18,334",2:44,0,1,1,2
194,2/11/2018,Florida Panthers,11,4,0,Winnipeg Jets,14,2,1,-,"13,490",2:34,1,2,0,0
195,3/11/2018,Ottawa Senators,13,2,0,Buffalo Sabres,14,9,1,-,"17,881",2:27,0,0,1,2
196,3/11/2018,Chicago Blackhawks,15,3,0,Calgary Flames,15,5,1,-,"18,143",2:26,0,0,1,2
197,3/11/2018,Edmonton Oilers,13,4,0,Detroit Red Wings,14,3,1,-,"19,515",2:31,1,2,0,0
198,3/11/2018,Columbus Blue Jackets,13,1,0,Los Angeles Kings,13,4,1,-,"18,230",2:32,0,0,1,2
199,3/11/2018,Tampa Bay Lightning,13,4,0,Montreal Canadiens,13,1,1,-,"21,302",2:31,1,2,0,0
200,3/11/2018,Boston Bruins,13,0,0,Nashville Predators,14,1,1,-,"17,535",2:38,0,0,1,2
201,3/11/2018,New Jersey Devils,11,0,0,New York Islanders,13,3,1,-,"11,901",2:26,0,0,1,2
202,3/11/2018,Toronto Maple Leafs,14,5,0,Pittsburgh Penguins,12,0,1,-,"18,638",2:38,1,2,0,0
203,3/11/2018,Philadelphia Flyers,14,3,0,San Jose Sharks,14,4,1,OT,"17,562",2:29,0,1,1,2
204,3/11/2018,Minnesota Wild,13,5,0,St. Louis Blues,12,1,1,-,"17,767",2:27,1,2,0,0
205,3/11/2018,Carolina Hurricanes,14,0,0,Vegas Golden Knights,14,3,1,-,"18,328",2:29,0,0,1,2
206,3/11/2018,Dallas Stars,13,4,0,Washington Capitals,12,3,1,OT,"18,506",2:40,1,2,0,1
207,4/11/2018,Columbus Blue Jackets,14,2,0,Anaheim Ducks,15,3,1,OT,"16,727",2:31,0,1,1,2
208,4/11/2018,Buffalo Sabres,15,1,0,New York Rangers,14,3,1,-,"16,904",2:26,0,0,1,2
209,4/11/2018,Tampa Bay Lightning,14,4,0,Ottawa Senators,14,3,1,OT,"11,364",2:29,1,2,0,1
210,5/11/2018,Philadelphia Flyers,15,5,0,Arizona Coyotes,13,2,1,-,"13,719",2:28,1,2,0,0
211,5/11/2018,Dallas Stars,14,1,0,Boston Bruins,14,2,1,OT,"17,565",2:34,0,1,1,2
212,5/11/2018,Montreal Canadiens,14,4,0,New York Islanders,14,3,1,SO,"9,402",2:40,1,2,0,1
213,5/11/2018,New Jersey Devils,12,5,0,Pittsburgh Penguins,13,1,1,-,"18,420",2:38,1,2,0,0
214,5/11/2018,Edmonton Oilers,14,2,0,Washington Capitals,13,4,1,-,"18,506",2:30,0,0,1,2
215,6/11/2018,Dallas Stars,15,1,0,Columbus Blue Jackets,15,4,1,-,"14,159",2:24,0,0,1,2
216,6/11/2018,Vancouver Canucks,16,2,0,Detroit Red Wings,15,3,1,SO,"18,640",2:47,0,1,1,2
217,6/11/2018,Anaheim Ducks,16,1,0,Los Angeles Kings,14,4,1,-,"18,230",2:41,0,0,1,2
218,6/11/2018,Montreal Canadiens,15,3,0,New York Rangers,15,5,1,-,"17,428",2:40,0,0,1,2
219,6/11/2018,New Jersey Devils,13,3,0,Ottawa Senators,15,7,1,-,"12,491",2:37,0,0,1,2
220,6/11/2018,Minnesota Wild,14,3,0,San Jose Sharks,15,4,1,-,"15,853",2:23,0,0,1,2
221,6/11/2018,Carolina Hurricanes,15,1,0,St. Louis Blues,13,4,1,-,"16,210",2:31,0,0,1,2
222,6/11/2018,Edmonton Oilers,15,2,0,Tampa Bay Lightning,15,5,1,-,"19,092",2:33,0,0,1,2
223,6/11/2018,Vegas Golden Knights,15,1,0,Toronto Maple Leafs,15,3,1,-,"19,045",2:34,0,0,1,2
224,7/11/2018,Calgary Flames,16,2,0,Anaheim Ducks,17,3,1,-,"16,461",2:23,0,0,1,2
225,7/11/2018,Nashville Predators,15,4,0,Colorado Avalanche,15,1,1,-,"16,923",2:44,1,2,0,0
226,7/11/2018,Pittsburgh Penguins,14,1,0,Washington Capitals,14,2,1,-,"18,506",2:33,0,0,1,2
