,,,,,,,,,,,,,,,,,,,,,,,482.3255,0.5987,,,,"1,500.00"
Game_Index,Date,Team A,Team B,Game_No_A,Game_No_B,H_Status_A,H_Status_B,Goals_A,Goals_B,Win_Type,Att,LoG,Result_A,Result_B,Ladder_Pts_A,Ladder_Pts_B,Smoothed Result A,Rating A,Rating B,Actual,Expected,Diff,Sq Diff,Correct,,,Team A,Rating
219,6/11/2018,Ottawa Senators,New Jersey Devils,15,13,1,0,7,3,-,12491,2:37:00,1,0,2,0,0.9906,"1,416.01","1,428.84",0.9906,0.4815,0.5091,0.2592,0,,,,
220,6/11/2018,Minnesota Wild,San Jose Sharks,14,15,0,1,3,4,-,15853,2:23:00,0,1,0,2,0.1705,"1,467.06","1,534.08",0.1705,0.4047,-0.2343,0.0549,1,,,,
220,6/11/2018,San Jose Sharks,Minnesota Wild,15,14,1,0,4,3,-,15853,2:23:00,1,0,2,0,0.8295,"1,534.08","1,467.06",0.8295,0.5953,0.2343,0.0549,1,,,,
221,6/11/2018,Carolina Hurricanes,St. Louis Blues,15,13,0,1,1,4,-,16210,2:31:00,0,1,0,2,0.0005,"1,535.26","1,535.37",0.0005,0.4998,-0.4993,0.2493,1,,,,
221,6/11/2018,St. Louis Blues,Carolina Hurricanes,13,15,1,0,4,1,-,16210,2:31:00,1,0,2,0,0.9995,"1,535.37","1,535.26",0.9995,0.5002,0.4993,0.2493,1,,,,
222,6/11/2018,Edmonton Oilers,Tampa Bay Lightning,15,15,0,1,2,5,-,19092,2:33:00,0,1,0,2,0.0064,"1,451.41","1,659.32",0.0064,0.2320,-0.2256,0.0509,1,,,,
222,6/11/2018,Tampa Bay Lightning,Edmonton Oilers,15,15,1,0,5,2,-,19092,2:33:00,1,0,2,0,0.9936,"1,659.32","1,451.41",0.9936,0.7680,0.2256,0.0509,1,,,,
223,6/11/2018,Vegas Golden Knights,Toronto Maple Leafs,15,15,0,1,1,3,-,19045,2:34:00,0,1,0,2,0.0024,"1,512.01","1,538.89",0.0024,0.4614,-0.4590,0.2107,1,,,,
223,6/11/2018,Toronto Maple Leafs,Vegas Golden Knights,15,15,1,0,3,1,-,19045,2:34:00,1,0,2,0,0.9976,"1,538.89","1,512.01",0.9976,0.5386,0.4590,0.2107,1,,,,
224,7/11/2018,Calgary Flames,Anaheim Ducks,16,17,0,1,2,3,-,16461,2:23:00,0,1,0,2,0.0971,"1,565.89","1,443.15",0.0971,0.6696,-0.5725,0.3278,0,,,,
224,7/11/2018,Anaheim Ducks,Calgary Flames,17,16,1,0,3,2,-,16461,2:23:00,1,0,2,0,0.9029,"1,443.15","1,565.89",0.9029,0.3304,0.5725,0.3278,0,,,,
225,7/11/2018,Nashville Predators,Colorado Avalanche,15,15,0,1,4,1,-,16923,2:44:00,1,0,2,0,0.9995,"1,548.34","1,488.89",0.9995,0.5847,0.4148,0.1720,1,,,,
225,7/11/2018,Colorado Avalanche,Nashville Predators,15,15,1,0,1,4,-,16923,2:44:00,0,1,0,2,0.0005,"1,488.89","1,548.34",0.0005,0.4153,-0.4148,0.1720,1,,,,
226,7/11/2018,Pittsburgh Penguins,Washington Capitals,14,14,0,1,1,2,-,18506,2:33:00,0,1,0,2,0.0216,"1,530.65","1,552.63",0.0216,0.4684,-0.4468,0.1996,1,,,,
226,7/11/2018,Washington Capitals,Pittsburgh Penguins,14,14,1,0,2,1,-,18506,2:33:00,1,0,2,0,0.9784,"1,552.63","1,530.65",0.9784,0.5316,0.4468,0.1996,1,,,,
227,8/11/2018,Vancouver Canucks,Boston Bruins,17,15,0,1,8,5,-,17565,2:38:00,1,0,2,0,0.9299,"1,448.16","1,569.08",0.9299,0.3327,0.5972,0.3567,0,,,,
227,8/11/2018,Boston Bruins,Vancouver Canucks,15,17,1,0,5,8,-,17565,2:38:00,0,1,0,2,0.0701,"1,569.08","1,448.16",0.0701,0.6673,-0.5972,0.3567,0,,,,
228,8/11/2018,Carolina Hurricanes,Chicago Blackhawks,16,16,0,1,4,3,-,21331,2:20:00,1,0,2,0,0.8295,"1,535.26","1,461.05",0.8295,0.6052,0.2243,0.0503,1,,,,
228,8/11/2018,Chicago Blackhawks,Carolina Hurricanes,16,16,1,0,3,4,-,21331,2:20:00,0,1,0,2,0.1705,"1,461.05","1,535.26",0.1705,0.3948,-0.2243,0.0503,1,,,,
229,8/11/2018,San Jose Sharks,Dallas Stars,16,16,0,1,3,4,-,18137,2:33:00,0,1,0,2,0.1705,"1,534.08","1,513.26",0.1705,0.5299,-0.3595,0.1292,0,,,,
229,8/11/2018,Dallas Stars,San Jose Sharks,16,16,1,0,4,3,-,18137,2:33:00,1,0,2,0,0.8295,"1,513.26","1,534.08",0.8295,0.4701,0.3595,0.1292,0,,,,
230,8/11/2018,Edmonton Oilers,Florida Panthers,16,12,0,1,1,4,-,11484,2:33:00,0,1,0,2,0.0005,"1,451.41","1,478.27",0.0005,0.4614,-0.4609,0.2125,1,,,,
230,8/11/2018,Florida Panthers,Edmonton Oilers,12,16,1,0,4,1,-,11484,2:33:00,1,0,2,0,0.9995,"1,478.27","1,451.41",0.9995,0.5386,0.4609,0.2125,1,,,,
231,8/11/2018,Minnesota Wild,Los Angeles Kings,15,15,0,1,3,1,-,17621,2:29:00,1,0,2,0,0.9976,"1,467.06","1,420.59",0.9976,0.5665,0.4311,0.1859,1,,,,
231,8/11/2018,Los Angeles Kings,Minnesota Wild,15,15,1,0,1,3,-,17621,2:29:00,0,1,0,2,0.0024,"1,420.59","1,467.06",0.0024,0.4335,-0.4311,0.1859,1,,,,
232,8/11/2018,Buffalo Sabres,Montreal Canadiens,16,16,0,1,6,5,OT,20488,2:40:00,1,0,2,1,0.7316,"1,434.27","1,522.17",0.7316,0.3761,0.3555,0.1264,0,,,,
232,8/11/2018,Montreal Canadiens,Buffalo Sabres,16,16,1,0,5,6,OT,20488,2:40:00,0,1,1,2,0.2684,"1,522.17","1,434.27",0.2684,0.6239,-0.3555,0.1264,0,,,,
233,8/11/2018,Vegas Golden Knights,Ottawa Senators,16,16,0,1,5,3,-,15213,2:37:00,1,0,2,0,0.9432,"1,512.01","1,416.01",0.9432,0.6347,0.3085,0.0951,1,,,,
233,8/11/2018,Ottawa Senators,Vegas Golden Knights,16,16,1,0,3,5,-,15213,2:37:00,0,1,0,2,0.0568,"1,416.01","1,512.01",0.0568,0.3653,-0.3085,0.0951,1,,,,
234,8/11/2018,Arizona Coyotes,Philadelphia Flyers,14,16,0,1,4,5,OT,18884,2:28:00,0,1,1,2,0.2267,"1,474.89","1,471.12",0.2267,0.5054,-0.2788,0.0777,0,,,,
234,8/11/2018,Philadelphia Flyers,Arizona Coyotes,16,14,1,0,5,4,OT,18884,2:28:00,1,0,2,1,0.7733,"1,471.12","1,474.89",0.7733,0.4946,0.2788,0.0777,0,,,,
235,8/11/2018,New York Islanders,Tampa Bay Lightning,15,16,0,1,2,4,-,19092,2:30:00,0,1,0,2,0.0216,"1,549.74","1,659.32",0.0216,0.3473,-0.3257,0.1061,1,,,,
235,8/11/2018,Tampa Bay Lightning,New York Islanders,16,15,1,0,4,2,-,19092,2:30:00,1,0,2,0,0.9784,"1,659.32","1,549.74",0.9784,0.6527,0.3257,0.1061,1,,,,
236,9/11/2018,Minnesota Wild,Anaheim Ducks,16,18,0,1,5,1,-,16464,2:30:00,1,0,2,0,0.9999,"1,467.06","1,443.15",0.9999,0.5344,0.4655,0.2167,1,,,,
236,9/11/2018,Anaheim Ducks,Minnesota Wild,18,16,1,0,1,5,-,16464,2:30:00,0,1,0,2,0.0001,"1,443.15","1,467.06",0.0001,0.4656,-0.4655,0.2167,1,,,,
237,9/11/2018,New York Rangers,Detroit Red Wings,16,16,0,1,2,3,OT,19515,2:38:00,0,1,1,2,0.0971,"1,438.36","1,433.41",0.0971,0.5071,-0.4100,0.1681,0,,,,
237,9/11/2018,Detroit Red Wings,New York Rangers,16,16,1,0,3,2,OT,19515,2:38:00,1,0,2,1,0.9029,"1,433.41","1,438.36",0.9029,0.4929,0.4100,0.1681,0,,,,
238,9/11/2018,San Jose Sharks,St. Louis Blues,17,14,0,1,0,4,-,17032,2:21:00,0,1,0,2,0.0000,"1,534.08","1,535.37",0.0000,0.4981,-0.4981,0.2481,1,,,,
238,9/11/2018,St. Louis Blues,San Jose Sharks,14,17,1,0,4,0,-,17032,2:21:00,1,0,2,0,1.0000,"1,535.37","1,534.08",1.0000,0.5019,0.4981,0.2481,1,,,,
239,9/11/2018,New Jersey Devils,Toronto Maple Leafs,14,16,0,1,1,6,-,19211,2:32:00,0,1,0,2,0.0001,"1,428.84","1,538.89",0.0001,0.3467,-0.3467,0.1202,1,,,,
239,9/11/2018,Toronto Maple Leafs,New Jersey Devils,16,14,1,0,6,1,-,19211,2:32:00,1,0,2,0,0.9999,"1,538.89","1,428.84",0.9999,0.6533,0.3467,0.1202,1,,,,
240,9/11/2018,Colorado Avalanche,Winnipeg Jets,16,15,0,1,2,5,-,15321,2:23:00,0,1,0,2,0.0064,"1,488.89","1,535.38",0.0064,0.4335,-0.4271,0.1824,1,,,,
240,9/11/2018,Winnipeg Jets,Colorado Avalanche,15,16,1,0,5,2,-,15321,2:23:00,1,0,2,0,0.9936,"1,535.38","1,488.89",0.9936,0.5665,0.4271,0.1824,1,,,,
241,9/11/2018,Columbus Blue Jackets,Washington Capitals,16,15,0,1,2,1,-,18506,2:31:00,1,0,2,0,0.9784,"1,542.45","1,552.63",0.9784,0.4853,0.4930,0.2431,0,,,,
241,9/11/2018,Washington Capitals,Columbus Blue Jackets,15,16,1,0,1,2,-,18506,2:31:00,0,1,0,2,0.0216,"1,552.63","1,542.45",0.0216,0.5147,-0.4930,0.2431,0,,,,
242,10/11/2018,Toronto Maple Leafs,Boston Bruins,17,16,0,1,1,5,-,17565,2:34:00,0,1,0,2,0.0001,"1,538.89","1,569.08",0.0001,0.4567,-0.4565,0.2084,1,,,,
242,10/11/2018,Boston Bruins,Toronto Maple Leafs,16,17,1,0,5,1,-,17565,2:34:00,1,0,2,0,0.9999,"1,569.08","1,538.89",0.9999,0.5433,0.4565,0.2084,1,,,,
243,10/11/2018,Vancouver Canucks,Buffalo Sabres,18,17,0,1,3,4,SO,17541,2:42:00,0,1,1,2,0.1705,"1,448.16","1,434.27",0.1705,0.5200,-0.3495,0.1221,0,,,,
243,10/11/2018,Buffalo Sabres,Vancouver Canucks,17,18,1,0,4,3,SO,17541,2:42:00,1,0,2,1,0.8295,"1,434.27","1,448.16",0.8295,0.4800,0.3495,0.1221,0,,,,
244,10/11/2018,Detroit Red Wings,Carolina Hurricanes,17,17,0,1,4,3,SO,13029,2:42:00,1,0,2,1,0.8295,"1,433.41","1,535.26",0.8295,0.3575,0.4720,0.2228,0,,,,
244,10/11/2018,Carolina Hurricanes,Detroit Red Wings,17,17,1,0,3,4,SO,13029,2:42:00,0,1,1,2,0.1705,"1,535.26","1,433.41",0.1705,0.6425,-0.4720,0.2228,0,,,,
245,10/11/2018,New York Rangers,Columbus Blue Jackets,17,17,0,1,5,4,SO,18384,2:47:00,1,0,2,1,0.7733,"1,438.36","1,542.45",0.7733,0.3545,0.4188,0.1754,0,,,,
245,10/11/2018,Columbus Blue Jackets,New York Rangers,17,17,1,0,4,5,SO,18384,2:47:00,0,1,1,2,0.2267,"1,542.45","1,438.36",0.2267,0.6455,-0.4188,0.1754,0,,,,
246,10/11/2018,Nashville Predators,Dallas Stars,16,17,0,1,5,4,OT,18532,2:42:00,1,0,2,1,0.7733,"1,548.34","1,513.26",0.7733,0.5503,0.2230,0.0497,1,,,,
246,10/11/2018,Dallas Stars,Nashville Predators,17,16,1,0,4,5,OT,18532,2:42:00,0,1,1,2,0.2267,"1,513.26","1,548.34",0.2267,0.4497,-0.2230,0.0497,1,,,,
247,10/11/2018,New York Islanders,Florida Panthers,16,13,0,1,2,4,-,11947,2:28:00,0,1,0,2,0.0216,"1,549.74","1,478.27",0.0216,0.6014,-0.5798,0.3362,0,,,,
247,10/11/2018,Florida Panthers,New York Islanders,13,16,1,0,4,2,-,11947,2:28:00,1,0,2,0,0.9784,"1,478.27","1,549.74",0.9784,0.3986,0.5798,0.3362,0,,,,
248,10/11/2018,Calgary Flames,Los Angeles Kings,17,16,0,1,1,0,-,18230,2:32:00,1,0,2,0,1.0000,"1,565.89","1,420.59",1.0000,0.6977,0.3023,0.0914,1,,,,
248,10/11/2018,Los Angeles Kings,Calgary Flames,16,17,1,0,0,1,-,18230,2:32:00,0,1,0,2,0.0000,"1,420.59","1,565.89",0.0000,0.3023,-0.3023,0.0914,1,,,,
249,10/11/2018,Vegas Golden Knights,Montreal Canadiens,17,17,0,1,4,5,-,21302,2:30:00,0,1,0,2,0.2267,"1,512.01","1,522.17",0.2267,0.4854,-0.2587,0.0669,1,,,,
249,10/11/2018,Montreal Canadiens,Vegas Golden Knights,17,17,1,0,5,4,-,21302,2:30:00,1,0,2,0,0.7733,"1,522.17","1,512.01",0.7733,0.5146,0.2587,0.0669,1,,,,
250,10/11/2018,Chicago Blackhawks,Philadelphia Flyers,17,17,0,1,0,4,-,19355,2:25:00,0,1,0,2,0.0000,"1,461.05","1,471.12",0.0000,0.4855,-0.4855,0.2357,1,,,,
250,10/11/2018,Philadelphia Flyers,Chicago Blackhawks,17,17,1,0,4,0,-,19355,2:25:00,1,0,2,0,1.0000,"1,471.12","1,461.05",1.0000,0.5145,0.4855,0.2357,1,,,,
251,10/11/2018,Arizona Coyotes,Pittsburgh Penguins,15,15,0,1,0,4,-,18596,2:31:00,0,1,0,2,0.0000,"1,474.89","1,530.65",0.0000,0.4204,-0.4204,0.1768,1,,,,
251,10/11/2018,Pittsburgh Penguins,Arizona Coyotes,15,15,1,0,4,0,-,18596,2:31:00,1,0,2,0,1.0000,"1,530.65","1,474.89",1.0000,0.5796,0.4204,0.1768,1,,,,
252,10/11/2018,Ottawa Senators,Tampa Bay Lightning,17,17,0,1,6,4,-,19092,2:35:00,1,0,2,0,0.9029,"1,416.01","1,659.32",0.9029,0.1977,0.7052,0.4973,0,,,,
252,10/11/2018,Tampa Bay Lightning,Ottawa Senators,17,17,1,0,4,6,-,19092,2:35:00,0,1,0,2,0.0971,"1,659.32","1,416.01",0.0971,0.8023,-0.7052,0.4973,0,,,,
253,11/11/2018,Vegas Golden Knights,Boston Bruins,18,17,0,1,1,4,-,17565,2:30:00,0,1,0,2,0.0005,"1,512.01","1,569.08",0.0005,0.4186,-0.4181,0.1748,1,,,,
253,11/11/2018,Boston Bruins,Vegas Golden Knights,17,18,1,0,4,1,-,17565,2:30:00,1,0,2,0,0.9995,"1,569.08","1,512.01",0.9995,0.5814,0.4181,0.1748,1,,,,
254,11/11/2018,Colorado Avalanche,Edmonton Oilers,17,17,0,1,4,1,-,18347,2:14:00,1,0,2,0,0.9995,"1,488.89","1,451.41",0.9995,0.5537,0.4458,0.1987,1,,,,
254,11/11/2018,Edmonton Oilers,Colorado Avalanche,17,17,1,0,1,4,-,18347,2:14:00,0,1,0,2,0.0005,"1,451.41","1,488.89",0.0005,0.4463,-0.4458,0.1987,1,,,,
255,11/11/2018,Ottawa Senators,Florida Panthers,18,14,0,1,1,5,-,11192,2:35:00,0,1,0,2,0.0001,"1,416.01","1,478.27",0.0001,0.4113,-0.4112,0.1691,1,,,,
255,11/11/2018,Florida Panthers,Ottawa Senators,14,18,1,0,5,1,-,11192,2:35:00,1,0,2,0,0.9999,"1,478.27","1,416.01",0.9999,0.5887,0.4112,0.1691,1,,,,
256,11/11/2018,Calgary Flames,San Jose Sharks,18,18,0,1,1,3,-,17562,2:22:00,0,1,0,2,0.0024,"1,565.89","1,534.08",0.0024,0.5456,-0.5433,0.2951,0,,,,
256,11/11/2018,San Jose Sharks,Calgary Flames,18,18,1,0,3,1,-,17562,2:22:00,1,0,2,0,0.9976,"1,534.08","1,565.89",0.9976,0.4544,0.5433,0.2951,0,,,,
257,11/11/2018,Minnesota Wild,St. Louis Blues,17,15,0,1,3,2,-,16735,2:33:00,1,0,2,0,0.9029,"1,467.06","1,535.37",0.9029,0.4029,0.5000,0.2500,0,,,,
257,11/11/2018,St. Louis Blues,Minnesota Wild,15,17,1,0,2,3,-,16735,2:33:00,0,1,0,2,0.0971,"1,535.37","1,467.06",0.0971,0.5971,-0.5000,0.2500,0,,,,
258,11/11/2018,New Jersey Devils,Winnipeg Jets,15,16,0,1,2,5,-,15321,2:30:00,0,1,0,2,0.0064,"1,428.84","1,535.38",0.0064,0.3513,-0.3449,0.1189,1,,,,
258,11/11/2018,Winnipeg Jets,New Jersey Devils,16,15,1,0,5,2,-,15321,2:30:00,1,0,2,0,0.9936,"1,535.38","1,428.84",0.9936,0.6487,0.3449,0.1189,1,,,,
259,11/11/2018,Arizona Coyotes,Washington Capitals,16,16,0,1,4,1,-,18506,2:27:00,1,0,2,0,0.9995,"1,474.89","1,552.63",0.9995,0.3900,0.6096,0.3716,0,,,,
259,11/11/2018,Washington Capitals,Arizona Coyotes,16,16,1,0,1,4,-,18506,2:27:00,0,1,0,2,0.0005,"1,552.63","1,474.89",0.0005,0.6100,-0.6096,0.3716,0,,,,
260,12/11/2018,Nashville Predators,Anaheim Ducks,17,19,0,1,1,2,SO,16629,3:04:00,0,1,1,2,0.0216,"1,548.34","1,443.15",0.0216,0.6469,-0.6253,0.3910,0,,,,
260,12/11/2018,Anaheim Ducks,Nashville Predators,19,17,1,0,2,1,SO,16629,3:04:00,1,0,2,1,0.9784,"1,443.15","1,548.34",0.9784,0.3531,0.6253,0.3910,0,,,,
261,12/11/2018,Chicago Blackhawks,Carolina Hurricanes,18,18,0,1,2,3,OT,11221,2:28:00,0,1,1,2,0.0971,"1,461.05","1,535.26",0.0971,0.3948,-0.2977,0.0886,1,,,,
261,12/11/2018,Carolina Hurricanes,Chicago Blackhawks,18,18,1,0,3,2,OT,11221,2:28:00,1,0,2,1,0.9029,"1,535.26","1,461.05",0.9029,0.6052,0.2977,0.0886,1,,,,
262,12/11/2018,Columbus Blue Jackets,Dallas Stars,18,18,0,1,2,1,-,17543,2:32:00,1,0,2,0,0.9784,"1,542.45","1,513.26",0.9784,0.5419,0.4365,0.1905,1,,,,
262,12/11/2018,Dallas Stars,Columbus Blue Jackets,18,18,1,0,1,2,-,17543,2:32:00,0,1,0,2,0.0216,"1,513.26","1,542.45",0.0216,0.4581,-0.4365,0.1905,1,,,,
263,12/11/2018,Vancouver Canucks,New York Rangers,19,18,0,1,1,2,-,17100,2:28:00,0,1,0,2,0.0216,"1,448.16","1,438.36",0.0216,0.5141,-0.4925,0.2425,0,,,,
263,12/11/2018,New York Rangers,Vancouver Canucks,18,19,1,0,2,1,-,17100,2:28:00,1,0,2,0,0.9784,"1,438.36","1,448.16",0.9784,0.4859,0.4925,0.2425,0,,,,
264,13/11/2018,Tampa Bay Lightning,Buffalo Sabres,18,18,0,1,1,2,-,15833,2:31:00,0,1,0,2,0.0216,"1,659.32","1,434.27",0.0216,0.7851,-0.7635,0.5829,0,,,,
264,13/11/2018,Buffalo Sabres,Tampa Bay Lightning,18,18,1,0,2,1,-,15833,2:31:00,1,0,2,0,0.9784,"1,434.27","1,659.32",0.9784,0.2149,0.7635,0.5829,0,,,,
265,13/11/2018,Arizona Coyotes,Detroit Red Wings,17,18,0,1,1,6,-,18257,2:39:00,0,1,0,2,0.0001,"1,474.89","1,433.41",0.0001,0.5594,-0.5594,0.3129,0,,,,
265,13/11/2018,Detroit Red Wings,Arizona Coyotes,18,17,1,0,6,1,-,18257,2:39:00,1,0,2,0,0.9999,"1,433.41","1,474.89",0.9999,0.4406,0.5594,0.3129,0,,,,
266,13/11/2018,Montreal Canadiens,Edmonton Oilers,18,18,0,1,2,6,-,18347,2:28:00,0,1,0,2,0.0024,"1,522.17","1,451.41",0.0024,0.6004,-0.5981,0.3577,0,,,,
266,13/11/2018,Edmonton Oilers,Montreal Canadiens,18,18,1,0,6,2,-,18347,2:28:00,1,0,2,0,0.9976,"1,451.41","1,522.17",0.9976,0.3996,0.5981,0.3577,0,,,,
267,13/11/2018,Toronto Maple Leafs,Los Angeles Kings,18,17,0,1,5,1,-,17859,2:21:00,1,0,2,0,0.9999,"1,538.89","1,420.59",0.9999,0.6640,0.3359,0.1128,1,,,,
267,13/11/2018,Los Angeles Kings,Toronto Maple Leafs,17,18,1,0,1,5,-,17859,2:21:00,0,1,0,2,0.0001,"1,420.59","1,538.89",0.0001,0.3360,-0.3359,0.1128,1,,,,
268,13/11/2018,Washington Capitals,Minnesota Wild,17,18,0,1,5,2,-,19101,2:33:00,1,0,2,0,0.9936,"1,552.63","1,467.06",0.9936,0.6207,0.3729,0.1390,1,,,,
268,13/11/2018,Minnesota Wild,Washington Capitals,18,17,1,0,2,5,-,19101,2:33:00,0,1,0,2,0.0064,"1,467.06","1,552.63",0.0064,0.3793,-0.3729,0.1390,1,,,,
269,13/11/2018,Pittsburgh Penguins,New Jersey Devils,16,16,0,1,2,4,-,15108,2:41:00,0,1,0,2,0.0216,"1,530.65","1,428.84",0.0216,0.6425,-0.6208,0.3854,0,,,,
269,13/11/2018,New Jersey Devils,Pittsburgh Penguins,16,16,1,0,4,2,-,15108,2:41:00,1,0,2,0,0.9784,"1,428.84","1,530.65",0.9784,0.3575,0.6208,0.3854,0,,,,
270,13/11/2018,Vancouver Canucks,New York Islanders,20,17,0,1,2,5,-,8806,2:26:00,0,1,0,2,0.0064,"1,448.16","1,549.74",0.0064,0.3578,-0.3514,0.1235,1,,,,
270,13/11/2018,New York Islanders,Vancouver Canucks,17,20,1,0,5,2,-,8806,2:26:00,1,0,2,0,0.9936,"1,549.74","1,448.16",0.9936,0.6422,0.3514,0.1235,1,,,,
271,13/11/2018,Florida Panthers,Philadelphia Flyers,15,18,0,1,2,1,-,19147,2:30:00,1,0,2,0,0.9784,"1,478.27","1,471.12",0.9784,0.5103,0.4681,0.2191,1,,,,
271,13/11/2018,Philadelphia Flyers,Florida Panthers,18,15,1,0,1,2,-,19147,2:30:00,0,1,0,2,0.0216,"1,471.12","1,478.27",0.0216,0.4897,-0.4681,0.2191,1,,,,
272,13/11/2018,Nashville Predators,San Jose Sharks,18,19,0,1,4,5,-,16654,2:33:00,0,1,0,2,0.2267,"1,548.34","1,534.08",0.2267,0.5205,-0.2939,0.0864,0,,,,
272,13/11/2018,San Jose Sharks,Nashville Predators,19,18,1,0,5,4,-,16654,2:33:00,1,0,2,0,0.7733,"1,534.08","1,548.34",0.7733,0.4795,0.2939,0.0864,0,,,,
273,14/11/2018,St. Louis Blues,Chicago Blackhawks,16,19,0,1,0,1,-,21401,2:19:00,0,1,0,2,0.0000,"1,535.37","1,461.05",0.0000,0.6054,-0.6054,0.3665,0,,,,
273,14/11/2018,Chicago Blackhawks,St. Louis Blues,19,16,1,0,1,0,-,21401,2:19:00,1,0,2,0,1.0000,"1,461.05","1,535.37",1.0000,0.3946,0.6054,0.3665,0,,,,
274,14/11/2018,Boston Bruins,Colorado Avalanche,18,18,0,1,3,6,-,16124,2:20:00,0,1,0,2,0.0216,"1,569.08","1,488.89",0.0216,0.6134,-0.5918,0.3502,0,,,,
274,14/11/2018,Colorado Avalanche,Boston Bruins,18,18,1,0,6,3,-,16124,2:20:00,1,0,2,0,0.9784,"1,488.89","1,569.08",0.9784,0.3866,0.5918,0.3502,0,,,,
275,14/11/2018,Anaheim Ducks,Vegas Golden Knights,20,19,0,1,0,5,-,18111,2:25:00,0,1,0,2,0.0000,"1,443.15","1,512.01",0.0000,0.4022,-0.4022,0.1618,1,,,,
275,14/11/2018,Vegas Golden Knights,Anaheim Ducks,19,20,1,0,5,0,-,18111,2:25:00,1,0,2,0,1.0000,"1,512.01","1,443.15",1.0000,0.5978,0.4022,0.1618,1,,,,
276,14/11/2018,Washington Capitals,Winnipeg Jets,18,17,0,1,1,3,-,15321,2:22:00,0,1,0,2,0.0024,"1,552.63","1,535.38",0.0024,0.5248,-0.5224,0.2729,0,,,,
276,14/11/2018,Winnipeg Jets,Washington Capitals,17,18,1,0,3,1,-,15321,2:22:00,1,0,2,0,0.9976,"1,535.38","1,552.63",0.9976,0.4752,0.5224,0.2729,0,,,,
277,15/11/2018,Nashville Predators,Arizona Coyotes,19,18,0,1,1,2,-,13315,2:29:00,0,1,0,2,0.0216,"1,548.34","1,474.89",0.0216,0.6042,-0.5825,0.3393,0,,,,
277,15/11/2018,Arizona Coyotes,Nashville Predators,18,19,1,0,2,1,-,13315,2:29:00,1,0,2,0,0.9784,"1,474.89","1,548.34",0.9784,0.3958,0.5825,0.3393,0,,,,
278,15/11/2018,Florida Panthers,Columbus Blue Jackets,16,19,0,1,3,7,-,14872,2:31:00,0,1,0,2,0.0094,"1,478.27","1,542.45",0.0094,0.4087,-0.3993,0.1594,1,,,,
278,15/11/2018,Columbus Blue Jackets,Florida Panthers,19,16,1,0,7,3,-,14872,2:31:00,1,0,2,0,0.9906,"1,542.45","1,478.27",0.9906,0.5913,0.3993,0.1594,1,,,,
279,15/11/2018,Montreal Canadiens,Calgary Flames,19,19,0,1,3,2,-,18443,2:32:00,1,0,2,0,0.9029,"1,522.17","1,565.89",0.9029,0.4374,0.4655,0.2167,0,,,,
279,15/11/2018,Calgary Flames,Montreal Canadiens,19,19,1,0,2,3,-,18443,2:32:00,0,1,0,2,0.0971,"1,565.89","1,522.17",0.0971,0.5626,-0.4655,0.2167,0,,,,
280,15/11/2018,Vancouver Canucks,Minnesota Wild,21,19,0,1,2,6,-,19014,2:35:00,0,1,0,2,0.0024,"1,448.16","1,467.06",0.0024,0.4728,-0.4704,0.2213,1,,,,
280,15/11/2018,Minnesota Wild,Vancouver Canucks,19,21,1,0,6,2,-,19014,2:35:00,1,0,2,0,0.9976,"1,467.06","1,448.16",0.9976,0.5272,0.4704,0.2213,1,,,,
281,15/11/2018,New York Rangers,New York Islanders,19,18,0,1,5,7,-,13472,2:40:00,0,1,0,2,0.1358,"1,438.36","1,549.74",0.1358,0.3450,-0.2092,0.0438,1,,,,
281,15/11/2018,New York Islanders,New York Rangers,18,19,1,0,7,5,-,13472,2:40:00,1,0,2,0,0.8642,"1,549.74","1,438.36",0.8642,0.6550,0.2092,0.0438,1,,,,
282,15/11/2018,Detroit Red Wings,Ottawa Senators,19,19,0,1,1,2,-,13402,2:39:00,0,1,0,2,0.0216,"1,433.41","1,416.01",0.0216,0.5250,-0.5034,0.2534,0,,,,
282,15/11/2018,Ottawa Senators,Detroit Red Wings,19,19,1,0,2,1,-,13402,2:39:00,1,0,2,0,0.9784,"1,416.01","1,433.41",0.9784,0.4750,0.5034,0.2534,0,,,,
283,15/11/2018,New Jersey Devils,Philadelphia Flyers,17,19,0,1,3,0,-,18806,2:34:00,1,0,2,0,1.0000,"1,428.84","1,471.12",1.0000,0.4394,0.5606,0.3142,0,,,,
283,15/11/2018,Philadelphia Flyers,New Jersey Devils,19,17,1,0,0,3,-,18806,2:34:00,0,1,0,2,0.0000,"1,471.12","1,428.84",0.0000,0.5606,-0.5606,0.3142,0,,,,
284,15/11/2018,Tampa Bay Lightning,Pittsburgh Penguins,19,17,0,1,4,3,-,18422,2:31:00,1,0,2,0,0.8295,"1,659.32","1,530.65",0.8295,0.6771,0.1524,0.0232,1,,,,
284,15/11/2018,Pittsburgh Penguins,Tampa Bay Lightning,17,19,1,0,3,4,-,18422,2:31:00,0,1,0,2,0.1705,"1,530.65","1,659.32",0.1705,0.3229,-0.1524,0.0232,1,,,,
285,15/11/2018,Toronto Maple Leafs,San Jose Sharks,19,20,0,1,5,3,-,17011,2:27:00,1,0,2,0,0.9432,"1,538.89","1,534.08",0.9432,0.5069,0.4363,0.1903,1,,,,
